dPSIZ	SR-	SR+	FAS6-	FAS6+	MES	dMES	MES+	MES-	MEC-MC?	MEC-CS?	MES-KM?	PESE-	PESE+	PESS-	PESS+
-0.352	0.0488	0.0	0.0	0.1667	3.05	0.79	0.79	-0.79	0.0	1.0	0.0	0.2	0.0	0.0	0.0
	0.0408	0.0208	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.3	0.0227	0.0444	0.0	0.0					0.0	0.0	0.0	0.1	0.1		
0.063	0.0	0.0244	0.0	0.0					0.0	0.0	0.0	0.1053	0.0		
0.811	0.087	0.0		1.0					0.0	0.0	0.0	0.0	0.0		
	0.0028	0.0	0.0	0.0	4.9	7.96	7.96		0.0	1.0	0.0	0.0095	0.0095	0.0	0.0
	0.0	0.0028	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.176	0.0065	0.0	0.0	0.0	5.05	7.95	7.95		0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.28	0.0065	0.0	0.0	0.0	3.93	4.53	4.53		0.0	1.0	0.0	0.0	0.0196	0.0	0.0
	0.0	0.0055	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
	0.0082	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.09	0.0	0.0769			5.5	0.61	0.61	-0.61	0.0	1.0	0.0	0.0	0.0		
-0.682	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		1.0
1.83	0.0	0.0476	0.2857	0.0					0.0	0.0	0.0	0.0	0.1111		
															
1.118	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
	0.0062	0.0	0.0	0.0					0.0	0.0	0.0	0.0175	0.0	0.0	0.0
0.368	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0	0.0
-1.484	0.0	0.0	0.0	0.0	6.38	0.59	-0.59	0.59	0.0	0.0	1.0	0.0	0.0	0.0	0.0
-0.076	0.0	0.0							0.0	0.0	0.0	0.0	0.0		
															
0.421	0.0	0.125	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.603	0.0147	0.0147	0.0	0.0	3.34	7.75	7.75		0.0	1.0	0.0	0.0	0.1333		1.0
1.881	0.0	0.069	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-1.548	0.0196	0.0385	0.0	0.0					0.0	0.0	0.0	0.1667	0.0		
-1.877	0.0	0.2222							0.0	0.0	0.0	0.0	0.0		
0.286	0.0357	0.0357			7.41	2.62	-2.62	2.62	0.0	1.0	0.0	0.0833	0.0833		
1.653	0.0556	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.1429		
	0.0014	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.355	0.0833	0.0	0.0	0.0	2.68	8.36		8.36	0.0	1.0	0.0	0.0	0.0		
-2.5	0.0	0.0435	0.0	0.0	3.35	0.77	0.77	-0.77	0.0	1.0	0.0	0.0	0.0		
-2.372	0.0	0.1	0.0	0.0					0.0	0.0	0.0	0.05	0.0	0.0	0.0
1.647	0.0	0.0	0.25	0.0					0.0	0.0	0.0	0.1818	0.0		
	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0268	0.0	0.0	0.0
0.103	0.0294	0.0	0.0	0.0					0.0	0.0	0.0	0.125	0.0	0.0	0.0
0.109	0.0	0.0294	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.432	0.1111	0.2	0.0	0.0					0.0	0.0	0.0	0.0	0.2		
0.867	0.08	0.0	0.0	0.25					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.451	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.25
-1.172	0.0294	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-0.253	0.05	0.0	0.0	0.0					0.0	0.0	0.0	0.3636	0.0		
-2.795	0.0	0.0385			9.94	0.15	0.15	-0.15	0.0	0.0	1.0	0.0	0.0		
															
	0.0047	0.0047	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.025	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0238	0.0		
-0.825	0.0	0.0238	0.0	0.0					0.0	0.0	0.0	0.0588	0.0	0.0	0.0
-1.739	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
	0.0417	0.0213	0.0	0.0					0.0	0.0	0.0	0.1667	0.0		
0.43	0.0333	0.0333	0.0	0.0					0.0	0.0	0.0	0.0625	0.0625	0.0	0.0
1.448	0.0	0.0192	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
1.394	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-1.646	0.027	0.0							0.0	0.0	0.0	0.0	0.0952		
1.194	0.0	0.1053	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
0.816	0.04	0.0	0.0	0.0	4.22	8.37	2.41	8.37	1.0	1.0	0.0	0.0	0.1111		
-1.07	0.0	0.08	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.341	0.0	0.05	0.0	0.0	7.52	4.04	-4.04	4.04	0.0	1.0	0.0	0.0	0.0		
1.51	0.0323	0.0	0.0	0.0	5.81	0.76	0.76	-0.76	0.0	1.0	0.0	0.0	0.0667		
	0.0038	0.0038	0.0	0.0					0.0	0.0	0.0	0.0082	0.0	0.0	0.0
	0.0038	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.243	0.0	0.0339	0.0	0.0	8.93	8.18	8.18		0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.708	0.0	0.0333							0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.107	0.0889	0.0							0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.63	0.0036	0.0036	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.433	0.0303	0.0							0.0	0.0	0.0	0.0	0.0667		
1.007	0.0	0.1071	0.0	0.0	9.17	8.04		8.04	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.25	0.15	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.1		
	0.0217	0.0	0.0	0.1053					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.926	0.0	0.0	0.0	0.0	7.08	0.5	0.5	-0.5	0.0	0.0	1.0	0.2	0.0		
-0.785	0.037	0.037	0.0	0.5	5.37	4.38	4.38		0.0	1.0	0.0	0.0	0.0		
-0.779	0.0714	0.037	0.1	0.0	3.6	7.95	7.95		0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.756	0.0455	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0769	0.0	0.0
0.55	0.0385	0.0			6.35	0.75	0.75	-0.75	0.0	1.0	0.0	0.25	0.0		
1.267	0.0	0.0	0.0	0.5					0.0	0.0	0.0	0.0	0.0		
	0.0	0.0	0.0	0.0	10.15	4.48	-4.48	4.48	0.0	0.0	1.0	0.0	0.0		
0.515	0.0435	0.0222							0.0	0.0	0.0	0.0	0.0714		
2.221	0.0	0.0	0.5	0.0					0.0	0.0	0.0	0.0	0.0294	0.5	0.0
-0.198	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0345	0.0		
	0.0312	0.008	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.421	0.0	0.037							0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.331	0.0	0.0	0.0	0.25	11.38	0.33	-0.33	0.33	0.0	0.0	1.0	0.0	0.0		
-2.462	0.125	0.0667	0.0	0.0					0.0	0.0	0.0	0.0	0.2		
0.12	0.0408	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.136	0.0345	0.0	0.0	0.0	4.57	1.81	-1.81	1.81	0.0	1.0	0.0	0.0	0.0		
-1.98	0.04	0.0	0.0	0.5	3.75	0.67	0.67	-0.67	0.0	1.0	0.0	0.0	0.0		
-1.188	0.05	0.0	0.0	0.0					0.0	0.0	0.0	0.1	0.0	0.0	0.0
1.125	0.0	0.0	0.0	0.0	7.67	5.03	-5.03	5.03	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-2.001	0.0	0.0							0.0	0.0	0.0	0.125	0.0		
-1.004															
-1.771															
0.772	0.0339	0.0172	0.0	0.0	4.96	0.75	-0.75	0.75	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.45	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0312	0.0	0.0	0.0
-0.948	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0769		
-0.87	0.025	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.084	0.0	0.0	0.4	0.0					0.0	0.0	0.0	0.0455	0.0	0.0	0.0
-2.218	0.0625	0.0	0.0	0.0	7.06	0.79	0.79	-0.79	0.0	1.0	0.0	0.0	0.0		1.0
1.798	0.0714	0.0							0.0	0.0	0.0	0.0	0.3333		
-1.958	0.0	0.0	0.0	0.0	7.46	8.28		8.28	0.0	0.0	1.0	0.0	0.0	0.0	0.0
-0.155	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0455	0.087	0.0	0.3333
-0.128	0.0256	0.0256	0.5	0.0					0.0	0.0	0.0	0.0	0.0		
-0.083	0.0	0.0345			8.58	0.46	-0.46	0.46	0.0	1.0	0.0	0.0	0.0		
-2.133	0.0476	0.0476	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-1.8	0.1304	0.0	0.0	0.0	10.09	0.68	-0.68	0.68	0.0	1.0	0.0	0.0	0.0		
0.936	0.0	0.0	0.1667	0.0	3.75	1.47	1.47	-1.47	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-0.763	0.037	0.0	0.0	0.0					0.0	0.0	0.0	0.0556	0.0556		
-1.348	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0	0.0
-2.23	0.0	0.0							0.0	0.0	0.0	0.0556	0.0		
-0.909	0.0	0.0			12.92	1.18	1.18	-1.18	0.0	0.0	1.0	0.1111	0.1111		
	0.0083	0.0	0.2222	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.5
	0.0167	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0455	0.0	0.0
-0.336	0.0141	0.0071	0.0	0.0					0.0	0.0	0.0	0.0377	0.0	0.0	0.0
-1.318	0.0141	0.0	0.0	0.0					0.0	0.0	0.0	0.0192	0.0	0.0	0.0
															
	0.0	0.0051	0.0	0.0	3.38	7.96	7.96		0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.666	0.0	0.0208	0.0	0.0	9.63	0.7	-0.7	0.7	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-1.109	0.0	0.0	0.0	0.0	2.19	0.45		0.45	0.0	1.0	0.0	0.2	0.3333	0.0	0.0
0.064	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0556	0.0	0.0
-0.005	0.0	0.0192	0.0	0.0	6.0	2.25	-2.25	2.25	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.852	0.0	0.125	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01	0.0	0.0027	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.014	0.0027	0.0	0.0	0.0	5.82	0.61	0.61	-0.61	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-0.171	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.1538	0.0833	0.0	0.0
-0.585	0.0417	0.0	0.0	0.0	2.68	1.54	1.54		0.0	1.0	0.0	0.0	0.1667		
0.937	0.0417	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
1.352	0.0417	0.1154	0.0	0.0					0.0	0.0	0.0	0.1111	0.0		
0.933	0.0213	0.0213	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-1.123	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.3077	0.0		
-1.068	0.027	0.0	0.0	0.0	3.13	3.75		3.75	1.0	1.0	0.0	0.0	0.0968	0.0	0.0
-2.622	0.0	0.1176	0.0	0.0	2.63	7.95	7.95		0.0	1.0	0.0	0.0	0.2222		
	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0081	0.0	0.0	0.0
															
-0.045	0.0241	0.0241	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.119	0.0	0.0062	0.0	0.0	6.04	8.37		8.37	0.0	1.0	0.0	0.0	0.0492	0.0	0.0
0.023	0.0123	0.0062	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-1.895	0.0	0.0	0.0	0.2	6.74	7.75	7.75		0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.923	0.0513	0.0	0.2	0.0	2.27	7.65	7.65		0.0	1.0	0.0	0.0	0.0	0.0	0.0
-1.694	0.0	0.0513	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.06	0.0	0.0065	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.068	0.0	0.0065	0.0	0.0					0.0	0.0	0.0	0.04	0.0	0.0	0.0
-0.2	0.075	0.0	0.0	0.6667					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.039	0.0	0.0667							0.0	0.0	0.0	0.0	0.0	0.0	0.0
	0.05	0.0	0.375	0.0	3.97	0.42	-0.42	0.42	0.0	1.0	0.0	0.1111	0.1111		
	0.0345	0.0667	0.0	0.0	5.42	8.37	3.6	8.37	1.0	1.0	0.0	0.0	0.0	0.0	0.0
	0.0	0.0	0.0	0.0	9.65	1.08	-1.08	1.08	0.0	0.0	1.0	0.0	0.0		
	0.0089	0.0089	0.0	0.0	5.93	7.95	7.95		0.0	1.0	0.0	0.0	0.0185	0.0	0.0
	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0185	0.0	0.0	0.0667
1.247	0.0	0.0	0.0	0.0	5.94	8.35	8.35		0.0	1.0	0.0	0.2	0.0	0.0	0.0
-0.911	0.0435	0.0							0.0	0.0	0.0	0.0	0.0		
	0.0465	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
0.158	0.0091	0.0091	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.699	0.0091	0.0091	0.0	0.0	5.31	5.93	5.93		0.0	1.0	0.0	0.0	0.0	0.0	0.0
	0.0164	0.0164							0.0	0.0	0.0	0.0	0.0	0.0	0.0
	0.0164	0.0164			8.33	1.95	1.95	-1.95	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.069	0.0073	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.001	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.275	0.0323	0.0909	0.0	0.0					0.0	0.0	0.0	0.125	0.0	0.0	0.0
-1.091	0.0556	0.0	0.0	0.75					0.0	0.0	0.0	0.0526	0.0		
-0.284	0.0	0.0345							0.0	0.0	0.0	0.0556	0.0556		
1.425	0.0	0.0476	0.0	0.0	2.53	1.03		1.03	0.0	1.0	0.0	0.0	0.0556	0.0	0.0
-0.495	0.0244	0.0476	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.709	0.0	0.0256	0.0	0.0					0.0	0.0	0.0	0.0909	0.0	0.0	0.0
-2.385	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
1.993	0.1111	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-0.888	0.05	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.25
1.571	0.0	0.0							0.0	0.0	0.0	0.0345	0.0		
0.483	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-1.809	0.0238	0.0238	0.0	0.0	10.5	7.96	7.96	-7.96	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-0.653	0.0556	0.0556	0.0	0.2	2.2	2.87	2.87		0.0	1.0	0.0	0.0	0.0	0.0	0.0
-1.358	0.0833	0.0							0.0	0.0	0.0	0.0	0.0	0.0	0.5
	0.0062	0.0123	0.0	0.0					0.0	0.0	0.0	0.0	0.0303	0.0	0.0
1.92	0.0	0.0625			5.74	0.97	-0.97	0.97	0.0	1.0	0.0	0.0	0.0		
0.718	0.0513	0.0263							0.0	0.0	0.0	0.1111	0.1111		
-0.144	0.0	0.0061	0.0	0.0	6.64	7.75	7.75		0.0	1.0	0.0	0.0	0.0		
0.647	0.0	0.0134	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.943	0.0043	0.0	0.0741	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.129	0.0	0.0128	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.787	0.0	0.0526	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.859	0.0	0.0	0.0	0.0	4.48	1.61	1.61	-1.61	0.0	1.0	0.0	0.2	0.2		
2.42	0.0588	0.0	0.0	0.0	5.71	0.35	0.35	-0.35	0.0	1.0	0.0	0.0	0.0		1.0
	0.0	0.0071	0.0	0.0	3.35	3.59		3.59	0.0	1.0	0.0	0.0	0.0256	0.0	0.0
-1.726	0.0625	0.0							0.0	0.0	0.0	0.1429	0.1429	0.0	0.0
-1.678	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.3333	0.0		
1.695															
-0.432	0.0	0.08	0.0	0.0	4.69	3.73	3.73		0.0	1.0	0.0	0.25	0.0	0.0	0.0
-1.756	0.087	0.0	0.0	0.0	4.66	0.53	0.53	-0.53	0.0	1.0	0.0	0.2	0.0769	0.0	0.0
	0.018	0.0091	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.021	0.0526	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-0.678	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.1379	0.0		
0.018	0.0	0.0	0.0	0.0	2.66	0.18	0.18	-0.18	0.0	1.0	0.0	0.0116	0.0	0.0	0.0
-0.051	0.0769	0.0							0.0	0.0	0.0	0.1667	0.1667	0.0	0.0
-0.495	0.0	0.0294	0.0	0.0	4.64	7.75	-0.79	7.75	0.0	1.0	0.0	0.0	0.0	0.5	0.0
1.118	0.0435	0.0435	0.0	0.0	2.39	1.5		1.5	0.0	1.0	0.0	0.1111	0.0		
-1.372	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.629	0.037	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-1.226	0.0	0.0	0.0	0.25	8.73	4.29	4.29	-4.29	0.0	1.0	0.0	0.0	0.0		1.0
0.892															
-0.712	0.0238	0.0238	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-0.886															
															
-1.18															
-1.799															
0.321															
0.699	0.027	0.0			4.13	0.27	0.27	-0.27	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-1.614	0.027	0.027		1.0	4.19	0.33	0.33	-0.33	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-0.07	0.0	0.0	0.0833	0.0					0.0	0.0	0.0	0.0426	0.0	0.0	0.0
1.487	0.0294	0.0294	0.0	0.0	6.11	15.45		15.45	0.0	1.0	0.0	0.0	0.0		
															
-1.271	0.0385	0.0		1.0	2.14	2.06	2.06		0.0	1.0	0.0	0.1	0.0		
	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0909	0.1667		
	0.0	0.0							0.0	0.0	0.0	0.1	0.0	0.0	0.0
-0.167	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-0.504	0.1304	0.0	0.0	0.0	2.64	0.37	0.37	-0.37	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.25	0.0476	0.0476	0.0	0.0					0.0	0.0	0.0	0.0769	0.2	0.0	0.0
-0.857	0.0909	0.0	0.0	0.0					0.0	0.0	0.0	0.2727	0.0	0.0	0.0
-0.854	0.04	0.0							0.0	0.0	0.0	0.1538	0.0		
1.963	0.0	0.1739	0.0	0.0					0.0	0.0	0.0	0.125	0.125		
-2.203	0.0638	0.0	0.0	0.0	8.92	0.84	0.84	-0.84	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-0.328	0.0385	0.0196	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
	0.005	0.0025	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.719	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.308	0.0	0.0588	0.0	0.0	4.64	2.59	2.59	-2.59	0.0	1.0	0.0	0.0	0.0		
-1.118	0.0	0.0	0.0	0.1429	4.08	7.32		7.32	0.0	1.0	0.0	0.0	0.0		
-1.267	0.1111	0.0	0.0	0.0					0.0	0.0	0.0	0.2308	0.0909		
0.13	0.0	0.0036	0.0227	0.0	5.3	0.76	0.76	-0.76	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-0.265	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.151	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0233	0.0	0.0
-0.257	0.0435	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.2
-0.208	0.0435	0.0435	0.0	0.0					0.0	0.0	0.0	0.1333	0.0	0.0	0.0
0.46	0.0345	0.0	0.0	0.0	5.3	12.39	12.39	-0.69	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.771	0.0	0.0714	0.0	0.0	6.3	0.84	-0.84	0.84	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-0.246	0.0	0.0435	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
1.021	0.025	0.0	0.0	0.25					0.0	0.0	0.0	0.0	0.25	0.0	0.0
-0.739	0.0667	0.0667	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
	0.0	0.1111	0.0	0.0	6.75	7.95	7.95		0.0	1.0	0.0	0.2	0.0	0.0	0.0
-0.301	0.0	0.0							0.0	0.0	0.0	0.0	0.0		
-0.901	0.0189	0.0189	0.0	0.0					0.0	0.0	0.0	0.0	0.0263	0.0	0.0
	0.0	0.0079	0.0	0.0					0.0	0.0	0.0	0.0123	0.0	0.0	0.0
	0.0	0.0	0.0	0.0	3.27	2.63	2.63		0.0	1.0	0.0	0.0274	0.0	0.0	0.0
0.947	0.0189	0.0189	0.0	0.0					0.0	0.0	0.0	0.0286	0.0	0.0	0.0
	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.02	0.0	0.0	0.0
	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
	0.0093	0.0093	0.0	0.0					0.0	0.0	0.0	0.0286	0.0	0.0	0.0
	0.0	0.0058	0.0	0.0					0.0	0.0	0.0	0.0233	0.0	0.0	0.0
	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.54	0.0	0.0032	0.0	0.0					0.0	0.0	0.0	0.0056	0.0	0.0	0.0
0.106	0.0016	0.0016	0.0	0.0	5.08	8.27		8.27	0.0	1.0	0.0	0.0	0.0	0.0112	0.0
0.292	0.0	0.0	0.0	0.0167	3.91	7.95		7.95	0.0	1.0	0.0	0.0	0.0	0.0	0.0
	0.0093	0.0	0.0	0.0	2.48	0.57	0.57		0.0	1.0	0.0	0.0	0.0		
0.607	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.5	0.0
0.556	0.0	0.125	0.0	0.0					0.0	0.0	0.0	0.0	0.0588		
-0.244	0.0	0.0476	0.0	0.0					0.0	0.0	0.0	0.0625	0.0		
2.276	0.04	0.0	0.0	0.0	4.08	0.67	0.67	-0.67	0.0	1.0	0.0	0.0	0.1667	0.0	0.0
1.396	0.0	0.0435							0.0	0.0	0.0	0.2	0.0		
	0.0	0.0714	0.0	0.0					0.0	0.0	0.0	0.3333	0.0		
2.076	0.0	0.0	0.0	0.0	2.61	9.11	9.11		0.0	1.0	0.0			0.0	0.0
-0.098	0.0066	0.0	0.0	0.0	6.17	1.37	1.37	-1.37	0.0	1.0	0.0	0.0132	0.0	0.0	0.0
0.414	0.0278	0.0278	0.0	0.0	4.45	2.38	2.38	0.11	0.0	1.0	0.0	0.0	0.0		
-0.935	0.0541	0.0789	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-0.079	0.0103	0.0	0.0	0.0	4.4	8.37		8.37	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.125	0.025	0.025	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
-0.506	0.0	0.0349	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
	0.0007	0.0007	0.0	0.0					0.0	0.0	0.0	0.0044	0.0	0.0	0.0
