priPhCons	mamPhCons	verPhCons	priPhyloP	mamPhyloP	verPhyloP	GerpS
0.008	0.0	0.0	-0.273	-1.912	-1.781	-8.8
0.149	0.0	0.0	-0.517	-2.963	-3.547	-10.0
0.758	0.283	0.319	-2.18	-2.073	-1.119	-9.26
0.559	0.002	0.001	-1.873	-2.657	-2.574	-9.83
0.61	0.855	0.601	-1.248	-1.09	-1.324	-5.77
0.004	0.564	0.493	-1.02	0.535	0.902	3.13
0.028	0.007	0.002	-0.353	-0.956	-0.953	-5.6
0.931	1.0	1.0	0.479	2.31	4.179	4.99
0.956	1.0	1.0	0.479	2.31	4.179	4.99
0.751	1.0	1.0	0.451	2.46	3.698	5.26
0.998	1.0	1.0	0.557	1.131	0.991	2.86
0.996	0.817	0.923	0.557	-0.624	-0.534	-2.12
0.319	0.029	0.19	-0.674	-1.147	-1.726	-5.1
0.853	1.0	1.0	0.307	0.745	1.036	2.92
0.385	1.0	1.0	0.587	2.45	0.779	3.78
0.259	1.0	1.0	0.557	0.48	0.971	2.76
0.759	1.0	1.0	0.651	2.801	5.644	5.92
0.96	1.0	1.0	0.553	2.335	1.8	5.02
0.984	1.0	1.0	0.457	0.987	3.5	3.83
0.302	0.076	0.568	-0.435	-1.499	-1.385	-10.1
0.001	0.033	0.035	-1.852	-0.359	-0.064	-0.667
0.117	0.0	0.0	-0.558	-1.1	-1.393	-6.68
0.89	0.938	1.0	-0.343	0.291	1.379	2.5
0.95	1.0	0.995	0.457	0.647	0.001	0.761
0.576	0.405	0.802	0.45	-0.183	-0.016	-1.61
0.229	0.799	0.901	0.298	-1.269	-0.792	-5.67
0.991	0.966	0.955	0.604	-0.78	-0.792	-5.02
0.014	0.0	0.0	0.557	-0.406	-0.248	-1.67
0.004	0.0	0.0	0.451	0.065	-0.042	-0.086
0.01	0.0	0.108	-0.375	-0.647	0.279	-1.36
0.072	0.003	0.194	-0.353	-1.129	-0.682	-6.71
0.42	0.723	0.836	0.651	1.096	1.627	3.05
0.123	0.937	0.758	0.587	2.397	0.581	4.21
0.938	0.554	0.206	-0.902	-1.995	-1.857	-11.4
0.016	0.006	0.167	-0.186	-0.004	0.757	0.823
0.966	0.998	0.983	0.651	-0.018	-0.112	-0.768
0.953	0.866	0.771	0.557	0.08	0.72	1.8
0.999	1.0	1.0	0.525	1.074	1.016	4.9
0.949	0.814	0.539	-0.547	-1.369	-1.301	-6.88
0.951	0.954	0.999	-0.495	-0.073	0.334	0.938
0.996	1.0	1.0	0.651	2.445	4.293	5.24
0.995	1.0	1.0	0.551	2.438	4.195	5.19
0.986	1.0	1.0	0.553	2.589	2.947	5.52
0.169	0.087	0.85	-1.297	-1.736	-0.605	-8.49
0.995	0.929	0.078	0.53	-1.143	-1.845	-4.31
0.931	0.95	0.999	0.645	0.886	1.486	3.01
0.031	0.0	0.025	0.651	-0.721	-0.616	-4.01
0.0	0.0	0.001	-0.15	0.382	0.942	2.67
0.073	0.003	0.002	-2.516	-1.807	-1.119	-6.32
0.563	0.007	0.325	0.53	0.048	0.166	0.542
0.239	1.0	0.99	0.587	0.391	0.252	-0.0721
0.048	0.002	0.014	-0.661	-1.087	-0.231	-5.17
0.197	0.003	0.571	-0.375	-3.214	-1.086	-10.2
0.971	0.973	0.969	-0.736	-0.767	-0.246	-7.39
0.962	0.999	1.0	0.651	0.008	0.808	1.68
0.078	0.925	0.998	-1.965	-0.481	0.253	-2.03
0.11	0.999	1.0	-0.264	1.28	0.9	4.52
0.005	0.729	0.128	-0.163	-0.296	0.249	-1.62
0.997	1.0	1.0	0.557	2.686	2.656	5.17
0.988	1.0	1.0	0.53	1.034	0.853	4.71
0.409	0.009	0.07	0.457	-0.146	-0.12	-1.09
0.0	0.0	0.0	-1.051	-2.196	-2.305	-8.44
0.958	0.833	0.957	0.457	0.844	1.121	2.98
0.011	0.008	0.0	-5.708	-4.766	-5.64	-11.1
0.007	0.003	0.0	-2.577	-2.551	-1.591	-11.1
0.241	0.229	0.911	0.651	1.257	1.533	2.29
0.002	0.056	0.001	-0.894	-1.095	-1.351	-8.49
0.011	0.0	0.0	-2.944	-3.537	-3.15	-10.2
0.392	0.003	0.0	-0.332	-2.215	-1.017	-10.5
0.953	0.976	0.963	0.478	-0.184	-0.271	-3.25
0.936	0.375	0.949	0.55	-0.055	-0.368	-0.934
0.978	0.457	0.115	-0.273	-2.477	-2.704	-10.5
0.821	0.085	0.013	-0.169	-1.436	-2.54	-9.15
0.999	1.0	1.0	0.651	2.394	1.601	5.13
0.854	0.994	0.99	-0.298	-0.197	-0.065	-1.03
0.975	0.957	0.998	0.557	2.539	3.785	5.42
0.273	0.987	0.997	0.651	0.369	0.185	0.0973
0.855	0.15	0.001	0.53	0.718	0.117	1.97
0.022	0.033	0.319	-0.476	-2.712	-1.342	-10.9
0.998	0.983	0.986	0.559	-0.483	-0.046	-0.958
0.993	0.999	0.998	0.651	0.041	0.28	1.66
0.946	0.998	0.877	-0.261	-0.148	-0.571	-2.18
0.971	0.973	0.997	-0.223	-0.684	0.163	-4.78
0.998	1.0	1.0	0.55	1.527	1.117	4.72
0.978	0.997	0.997	0.55	0.039	0.41	1.24
0.989	0.998	1.0	0.645	0.033	0.735	1.54
0.924	0.744	0.169	-0.921	-1.625	-0.969	-9.59
0.973	1.0	0.999	0.632	1.278	0.445	3.08
0.319	0.0	0.001	0.307	-2.815	-1.783	-9.71
0.968	0.772	0.999	0.53	-0.356	0.246	-0.37
0.836	0.474	0.293	-0.477	-1.782	-1.322	-9.79
0.917	0.97	0.947	-0.271	0.044	-0.106	0.778
0.976	1.0	1.0	0.486	0.35	1.868	2.29
0.331	0.0	0.0	0.486	-0.456	-0.485	-3.07
0.023	0.0	0.0	0.486	-1.443	-1.075	-7.46
0.04	0.003	0.0	-0.415	-0.767	-1.047	-6.97
0.936	0.885	0.961	-2.09	-1.232	-0.688	-4.29
0.775	0.024	0.14	0.406	0.434	0.682	2.1
0.149	0.947	0.122	-0.377	0.357	0.082	0.504
0.994	0.999	0.998	-0.144	0.024	0.169	1.5
0.031	0.911	0.969	0.645	1.238	1.904	3.7
0.94	0.013	0.012	0.53	-0.923	-0.514	-3.69
0.989	1.0	0.999	0.455	0.358	0.319	1.68
0.964	1.0	1.0	0.651	1.454	0.968	3.62
0.659	0.821	1.0	0.651	1.263	2.108	3.16
0.996	0.979	0.973	-0.297	-0.672	-0.182	-4.95
0.991	1.0	1.0	0.645	0.719	1.715	3.82
0.991	0.99	0.898	0.651	-0.254	-0.446	-1.84
0.798	0.959	0.997	0.557	2.663	3.759	5.67
0.996	1.0	1.0	0.375	2.117	4.07	5.58
0.572	1.0	1.0	0.587	2.313	5.487	4.98
0.812	0.994	0.999	-0.14	-0.163	0.452	-0.871
0.222	1.0	1.0	0.551	2.163	2.292	4.38
0.984	1.0	1.0	0.651	1.406	3.833	4.79
0.988	1.0	1.0	0.557	1.06	1.348	3.14
0.948	1.0	1.0	0.457	2.205	2.422	2.92
0.73	0.449	0.807	-0.459	0.074	0.662	0.838
0.006	0.0	0.0	-2.704	-1.965	-1.793	-0.423
0.064	0.01	0.003	0.457	0.668	0.724	2.33
0.005	0.011	0.001	-3.192	-0.556	-0.373	-0.673
0.011	0.006	0.002	-0.264	0.826	0.443	1.52
0.821	1.0	1.0	0.457	0.986	1.242	3.8
0.956	0.885	0.296	-0.388	-0.853	-1.391	-4.52
0.984	1.0	1.0	0.451	1.213	2.691	4.15
0.98	0.99	1.0	0.457	2.404	2.346	4.91
0.004	0.002	0.002	0.639	0.776	1.009	3.36
0.623	0.023	0.005	-1.821	-3.776	-2.898	-11.9
0.006	0.144	0.185	-0.353	-0.356	-0.468	-3.2
0.888	0.994	0.992	0.486	0.92	0.332	2.11
0.996	1.0	1.0	0.557	2.056	3.548	3.99
0.985	1.0	1.0	0.55	1.212	1.264	2.75
0.996	0.998	0.999	0.45	0.014	0.517	-0.41
0.932	0.999	0.997	0.651	1.008	0.318	3.41
0.001	0.0	0.0	-0.651	0.051	-0.111	-0.913
0.006	0.002	0.002	-0.343	-0.221	-0.222	-1.71
0.254	0.0	0.0	-0.696	-3.518	-4.268	-9.14
0.005	0.112	0.023	-1.304	-0.792	-1.147	-6.19
0.581	0.479	0.934	0.557	1.215	0.775	3.0
0.998	0.999	0.999	0.53	0.095	0.354	1.99
0.518	0.735	0.999	0.581	-0.11	0.62	-1.41
0.892	0.999	0.793	-0.374	-0.032	-0.93	-2.07
0.962	0.972	0.651	-0.231	-0.926	-1.26	-9.49
0.216	0.999	1.0	0.53	1.047	1.303	4.74
0.992	1.0	1.0	0.651	2.789	1.889	4.99
0.991	0.976	0.677	0.455	-0.793	-0.813	-4.19
0.867	0.878	0.941	-1.023	0.339	1.296	1.7
0.968	1.0	1.0	0.559	1.341	2.328	3.73
0.729	0.057	0.618	-0.791	-0.761	-0.832	-6.5
0.95	1.0	1.0	0.645	2.635	2.052	5.58
0.997	1.0	1.0	0.651	0.771	1.765	3.9
0.936	0.97	0.194	-0.199	-0.591	-1.414	-5.19
0.991	1.0	1.0	0.651	0.775	1.108	3.92
0.002	0.0	0.0	-0.375	-3.135	-2.996	-7.99
0.443	0.99	0.985	0.651	-0.246	-0.178	-1.29
0.001	0.0	0.0	-2.575	-2.128	-2.023	-3.64
0.008	0.502	0.579	-0.516	0.202	0.216	0.59
0.0	0.0	0.0	-2.074	-2.624	-2.521	-2.96
0.018	0.1	0.116	0.395	1.133	1.152	1.48
0.033	0.0	0.0	0.187	-0.465	-0.458	-1.24
0.009	0.0	0.0	-1.112	-1.155	-1.148	-2.05
0.017	0.0	0.0	0.372	-0.341	-0.322	-1.13
0.287	0.29	0.34	0.188	0.197	0.214	0.61
0.007	0.001	0.001	0.559	0.805	1.013	2.58
0.952	0.685	0.95	0.651	0.161	0.455	1.08
0.516	0.988	1.0	-0.147	1.365	1.669	3.6
0.996	0.816	0.33	0.53	-0.254	0.199	-0.145
0.181	0.884	0.951	-2.167	-2.005	-1.606	-6.0
0.885	0.98	0.947	-0.361	-0.377	-0.691	-5.38
0.046	0.0	0.001	0.646	-2.423	-1.843	-9.69
0.991	0.999	1.0	-0.144	0.691	0.961	1.62
0.041	0.963	0.996	0.275	1.858	2.38	4.12
0.06	0.481	0.996	0.255	-0.439	-0.009	-2.68
0.085	0.0	0.0	0.176	-1.413	-1.635	-7.24
0.005	0.0	0.0	0.651	-0.274	-0.281	-1.67
0.123	0.0	0.0	-0.231	0.267	0.349	1.01
0.989	1.0	1.0	0.651	1.068	2.829	3.15
0.953	0.977	0.983	-0.246	-0.622	-0.073	-1.3
0.345	0.99	0.965	-0.153	0.586	0.428	0.889
0.399	0.121	0.029	0.457	-0.012	-0.078	-1.91
0.998	1.0	1.0	0.559	2.741	1.725	4.8
0.648	0.789	0.076	0.457	-0.553	-0.852	-1.98
0.963	0.854	0.99	0.53	0.885	1.392	3.75
0.6	0.897	0.967	0.462	0.07	-0.237	-0.12
0.056	0.001	0.001	0.379	-0.763	-0.786	-4.99
0.491	0.622	0.95	-0.674	0.174	-0.108	0.0687
0.687	0.0	0.0	0.375	-2.501	-1.501	-10.3
0.125	0.001	0.007	-0.635	-0.321	-0.184	-2.54
0.996	1.0	0.996	0.53	0.405	0.068	1.44
0.093	0.052	0.0	-1.3	0.017	0.002	-0.471
0.117	1.0	1.0	-0.257	1.277	1.001	3.24
0.982	0.766	0.514	-0.264	-2.237	-1.979	-9.35
0.022	0.99	0.945	-1.824	-0.345	-0.321	-0.516
0.18	0.747	0.401	-2.705	-3.47	-1.639	-6.6
0.149	0.955	0.873	-0.245	-0.28	-0.542	-2.52
0.17	0.0	0.0	-0.269	-3.156	-3.703	-9.69
0.392	0.063	0.001	0.545	-1.132	-1.939	-7.6
0.731	0.986	0.557	0.486	0.211	0.224	1.23
0.857	0.974	0.997	0.557	1.237	1.189	3.42
0.868	0.99	0.928	-1.333	-0.524	-0.453	-5.0
0.998	1.0	1.0	0.581	2.73	5.898	5.77
0.2	0.988	1.0	-0.864	-0.293	0.764	1.03
0.935	0.988	0.948	-1.02	-0.304	-0.19	-4.07
0.734	0.992	0.937	-0.343	-0.323	-0.351	-3.27
0.99	1.0	1.0	0.557	0.367	1.41	2.72
0.976	1.0	0.963	0.53	0.356	-0.144	0.246
0.872	0.999	1.0	-0.257	0.251	1.67	1.94
0.998	1.0	1.0	0.53	1.004	1.534	4.36
0.998	1.0	1.0	0.457	0.437	1.264	3.47
0.975	0.969	0.989	-0.255	-0.817	-0.031	-5.01
0.41	0.043	0.003	0.457	-0.427	-1.135	-5.33
0.883	1.0	1.0	0.651	1.281	1.273	3.15
0.046	0.112	0.462	0.437	2.259	1.87	4.07
0.006	0.003	0.003	0.152	0.775	0.798	0.904
0.886	0.144	0.8	-0.359	-1.951	-1.173	-9.43
0.275	1.0	0.999	0.559	1.429	0.603	3.43
0.987	0.999	1.0	0.486	0.145	0.585	1.29
0.927	0.012	0.0	-0.547	-5.277	-5.362	-8.27
0.926	0.068	0.065	-1.273	-4.04	-3.33	-6.86
0.842	1.0	1.0	0.486	1.094	1.929	3.7
0.779	1.0	1.0	0.651	1.271	2.377	3.07
0.971	0.923	0.543	0.557	0.435	0.116	1.18
0.97	0.553	0.022	-0.489	-2.72	-2.282	-9.65
0.985	1.0	1.0	0.581	1.146	1.717	2.92
0.991	1.0	1.0	0.651	1.29	0.979	4.54
0.544	0.865	0.923	-1.188	-0.946	-0.692	-4.48
0.778	0.897	0.51	0.645	-0.002	0.075	0.45
0.972	0.996	0.921	-1.341	0.097	-0.179	0.703
0.899	0.999	1.0	0.53	0.448	1.028	3.42
0.549	0.966	0.959	0.248	0.099	-0.082	-0.111
0.033	0.0	0.074	-1.071	-1.376	-1.899	-7.42
0.695	0.001	0.0	0.557	-2.056	-2.419	-8.38
0.852	1.0	1.0	0.299	2.27	0.964	4.91
0.123	0.903	0.993	0.307	0.904	-0.01	2.79
0.115	0.987	1.0	0.307	1.017	1.453	3.36
0.883	0.025	0.01	0.559	-1.671	-1.969	-10.4
0.098	0.05	0.001	-0.434	-3.265	-3.315	-11.4
0.548	0.998	0.994	-0.126	1.319	0.971	3.52
0.78	0.01	0.006	0.507	-0.598	-0.182	-3.66
0.048	0.0	0.002	-0.373	-1.167	-0.582	-3.91
0.913	0.997	0.998	0.291	1.207	0.598	1.11
0.931	0.997	1.0	0.291	0.239	0.963	1.32
0.511	0.986	0.924	-1.776	-0.611	-0.393	-1.2
0.998	1.0	1.0	0.651	0.735	2.664	3.81
0.922	1.0	0.999	0.557	1.002	0.188	1.7
0.034	0.993	1.0	-0.966	-0.035	0.597	-2.03
0.033	0.024	0.974	-0.269	-0.269	0.872	-0.437
0.002	0.012	0.983	-0.14	1.283	2.374	2.84
0.63	0.994	0.994	0.651	1.188	0.771	4.03
0.01	0.003	0.001	0.651	0.098	0.102	-1.01
0.978	0.999	0.993	0.486	0.114	0.08	1.57
0.988	1.0	1.0	0.557	2.38	1.499	4.28
0.046	0.0	0.0	0.307	-0.521	-0.853	-2.95
0.763	0.916	0.767	-0.808	-1.129	-0.698	-4.47
0.058	0.0	0.001	-0.261	-0.144	-0.098	0.645
0.221	0.006	0.006	-1.267	-1.364	-1.465	-7.15
0.015	0.0	0.0	-0.264	-0.675	-0.605	-5.18
0.119	0.001	0.001	-2.656	-1.355	-0.568	-5.43
0.092	0.268	0.546	0.486	0.253	0.363	0.612
0.009	0.912	0.915	-0.618	0.77	1.571	1.89
0.92	0.985	1.0	-0.144	0.587	1.713	2.45
0.833	1.0	1.0	0.307	0.985	3.508	3.48
0.36	1.0	1.0	0.291	1.71	0.569	2.51
0.607	1.0	0.998	0.46	1.742	2.256	2.56
0.999	1.0	1.0	0.651	2.743	5.483	5.79
0.953	0.978	0.71	-1.489	-0.687	-0.932	-3.71
0.999	0.999	0.999	0.651	0.031	0.389	0.334
0.949	0.998	0.999	0.651	0.422	0.315	3.12
0.986	0.54	0.225	-0.777	-2.2	-1.779	-11.2
0.995	1.0	0.979	0.651	0.419	-0.167	0.606
0.963	0.395	0.091	-1.592	-2.563	-2.74	-10.6
0.977	0.079	0.022	-0.23	-2.515	-2.439	-10.6
0.972	0.993	0.956	-1.156	-0.297	-0.219	-2.01
0.996	0.993	0.998	0.651	-0.225	0.214	-0.0667
0.999	1.0	1.0	0.651	2.577	2.485	5.51
0.717	0.998	0.994	-0.394	0.287	0.267	2.66
0.989	0.999	0.922	0.53	0.055	-0.573	-0.46
0.991	0.951	0.988	-0.142	-0.711	-0.018	-2.12
0.997	0.998	0.813	0.457	0.018	-0.743	-1.83
0.998	1.0	1.0	0.557	1.171	1.406	3.72
0.483	0.938	0.957	-0.318	-0.309	-0.61	-2.07
0.997	1.0	0.997	0.651	1.296	0.143	2.09
0.662	1.0	1.0	-0.274	0.664	2.925	3.56
0.253	1.0	1.0	0.48	1.18	2.968	4.25
0.941	0.994	1.0	0.557	1.752	1.359	3.15
0.11	0.383	0.635	-0.355	-0.64	-0.423	-1.78
0.917	0.999	1.0	0.557	0.743	2.794	3.45
0.007	0.031	0.006	0.651	1.344	0.604	2.77
0.986	1.0	1.0	0.651	2.803	4.325	5.58
0.993	1.0	1.0	0.651	2.503	2.237	4.38
0.03	0.228	0.295	-0.377	-0.459	-0.214	-1.59
0.04	0.0	0.001	-1.292	-1.66	-0.839	-5.91
0.129	0.563	0.565	-0.476	-0.266	-0.605	-4.31
0.117	0.997	1.0	0.553	0.086	0.668	1.81
0.982	0.997	1.0	0.651	0.37	0.659	1.31
0.87	0.229	0.39	-0.53	-1.476	-1.313	-10.3
0.865	0.999	1.0	0.651	0.646	1.166	3.55
0.898	1.0	1.0	0.645	2.72	1.411	4.82
0.971	0.998	1.0	0.52	0.819	0.718	2.94
0.005	0.0	0.0	-0.26	-1.524	-1.508	-6.68
0.939	1.0	1.0	0.292	0.508	1.051	1.46
0.987	0.61	0.033	0.307	-0.392	-0.867	-2.46
0.872	0.238	0.788	0.55	1.326	1.852	4.31
0.0	0.0	0.0	-1.837	-0.811	-0.456	-1.08
0.043	0.003	0.004	0.651	1.086	1.576	2.75
0.467	0.986	0.983	0.486	1.273	1.552	4.01
0.918	0.034	0.42	-0.257	-1.532	-0.949	-5.66
0.983	0.237	0.431	-0.823	-2.702	-1.409	-9.63
0.973	1.0	1.0	0.587	2.678	2.629	4.67
0.024	0.029	0.001	0.53	-0.062	0.254	-0.497
0.958	0.724	0.783	-0.236	-1.825	-0.496	-9.66
0.877	0.999	1.0	-0.353	1.312	2.965	4.74
0.973	0.994	1.0	0.55	1.386	2.462	3.23
0.948	0.998	1.0	0.557	0.419	0.959	1.74
0.991	0.997	0.994	-0.269	-0.158	-0.005	-1.08
0.899	0.996	0.977	-2.097	-0.237	-0.346	-0.582
0.998	1.0	1.0	0.455	1.727	3.838	4.36
0.988	1.0	1.0	0.538	0.58	1.776	2.24
0.998	0.999	0.995	0.651	0.034	0.035	-0.0306
0.945	1.0	1.0	-0.298	1.16	0.823	2.91
0.955	0.997	1.0	0.557	2.406	1.03	4.82
0.985	0.36	0.874	-0.541	-2.468	-0.697	-11.5
0.801	0.999	0.949	0.559	0.164	-0.365	-0.563
0.444	0.976	0.81	0.546	-0.46	-0.871	-4.27
0.004	0.006	0.0	-0.759	-0.291	-0.997	-3.58
0.903	1.0	1.0	0.457	1.134	0.456	1.95
0.923	1.0	1.0	0.307	0.42	1.593	2.54
0.012	0.018	0.002	-3.476	-3.819	-4.405	-9.69
0.951	1.0	1.0	-0.307	0.636	0.758	3.56
0.003	0.025	0.016	-0.635	0.48	0.468	2.98
0.035	0.99	0.996	0.557	0.212	-0.027	0.557
0.011	0.565	0.967	-0.459	0.041	0.186	0.356
0.822	0.003	0.0	-0.264	-2.417	-3.236	-11.3
0.937	0.322	0.313	0.455	-0.66	-0.511	-5.34
0.012	0.971	0.903	-1.188	-0.508	-0.44	-3.82
0.964	0.031	0.06	-0.777	-1.429	-0.662	-7.21
0.985	0.998	1.0	0.402	0.65	1.636	3.58
0.115	0.571	0.821	-0.558	-1.229	-0.467	-5.38
0.009	0.155	0.021	-0.298	-0.085	-0.201	-2.4
0.463	0.879	0.517	-0.921	-1.443	-1.279	-7.49
0.219	0.995	0.98	0.645	2.546	1.18	5.15
0.074	0.003	0.0	-0.817	-1.604	-2.48	-9.15
0.993	0.991	0.967	0.451	-0.429	-0.379	-3.16
0.998	1.0	1.0	0.55	0.483	2.838	2.73
0.97	0.93	0.175	0.587	2.356	0.554	4.13
0.621	0.995	0.999	0.64	1.313	1.64	3.63
0.761	0.999	1.0	0.64	2.634	2.297	4.56
0.996	1.0	1.0	0.455	0.643	0.777	3.84
0.989	0.998	0.999	0.557	0.069	0.364	1.75
0.963	0.403	0.999	0.645	0.739	1.192	3.8
0.916	1.0	1.0	0.432	2.494	5.397	4.52
0.003	0.024	0.109	-0.68	0.516	0.209	1.34
0.126	0.004	0.009	0.486	0.951	2.117	3.02
0.593	1.0	1.0	-0.14	0.958	2.51	2.93
0.82	0.999	1.0	0.457	1.097	1.182	2.52
0.977	1.0	1.0	0.55	2.337	2.589	4.21
