priPhCons	mamPhCons	verPhCons	priPhyloP	mamPhyloP	verPhyloP	GerpS
0.016	0.487	0.972	-1.255	-0.411	0.073	-2.39
0.576	0.998	0.997	0.557	0.367	0.998	3.03
0.918	0.232	0.814	-0.682	-4.007	-0.719	-9.16
0.948	1.0	1.0	0.651	0.773	1.842	3.9
0.993	0.999	0.987	-0.187	0.077	-0.016	-0.723
0.999	1.0	1.0	0.53	2.324	2.311	5.77
0.001	0.0	0.0	-0.858	-0.208	-0.36	-2.53
0.999	1.0	1.0	0.651	1.318	3.272	4.75
0.968	0.044	0.002	0.651	-0.019	-0.356	-1.63
0.899	0.981	0.986	0.243	-0.327	-0.081	-2.8
0.004	0.163	0.999	0.177	1.404	1.73	2.55
0.022	0.999	1.0	-0.186	0.444	1.289	3.0
0.981	0.997	0.991	0.486	0.287	0.229	2.23
0.896	1.0	0.997	0.651	0.662	0.045	1.91
0.979	0.994	0.969	0.255	-0.343	-0.526	-1.07
0.93	0.86	0.995	-0.777	-0.866	0.21	-4.63
0.008	0.0	0.0	-0.921	-3.924	-4.329	-10.4
0.03	0.003	0.003	0.451	0.088	0.093	0.0418
0.008	0.0	0.0	-0.298	-1.32	-1.264	-6.43
0.994	0.669	0.809	-0.17	-1.547	-0.502	-10.5
0.007	0.002	0.001	0.176	0.449	-0.184	-1.14
0.008	0.0	0.0	-1.37	-1.828	-1.582	-6.39
0.0	0.001	0.002	-0.987	-0.523	-0.275	-1.12
0.007	0.042	0.657	-0.246	1.223	1.349	4.14
0.993	0.923	0.168	0.418	-0.858	-1.571	-3.98
0.996	0.999	1.0	0.651	0.905	2.465	3.74
0.993	1.0	1.0	0.525	0.295	0.545	2.77
0.979	0.704	0.034	0.633	0.03	-0.118	-1.06
0.887	0.996	0.972	0.525	0.489	0.362	2.2
0.02	0.02	0.056	0.283	0.278	1.397	-1.5
0.816	0.542	0.835	0.645	0.106	-0.068	-0.558
0.734	0.995	1.0	0.651	2.345	3.667	5.05
0.913	0.58	0.42	0.474	0.45	0.161	1.86
0.628	0.001	0.264	-1.789	-1.283	-0.487	-7.3
0.708	0.997	0.595	0.53	2.136	1.662	4.5
0.023	0.002	0.0	-0.392	-1.545	-2.239	-10.9
0.658	0.72	0.958	0.45	0.27	0.233	-0.0588
0.723	0.409	0.748	-0.791	-1.246	-0.788	-7.15
0.982	1.0	1.0	-0.388	0.406	0.901	1.99
0.944	1.0	1.0	0.557	2.58	2.513	5.0
0.496	0.016	0.0	-1.928	-4.868	-5.464	-11.5
0.768	0.009	0.886	-0.375	-1.768	-0.475	-8.54
0.01	0.001	0.002	-1.465	-1.335	-1.341	-1.0
0.561	0.793	0.637	-1.31	-1.733	-1.154	-10.6
0.92	0.155	0.038	0.557	-2.793	-3.068	-9.99
0.046	0.787	0.998	0.557	0.444	0.028	1.09
0.673	0.914	0.862	0.557	1.312	1.248	3.43
0.314	0.854	0.995	0.462	2.107	1.817	4.3
0.978	0.998	1.0	-0.375	-0.165	0.409	0.818
0.996	0.984	0.879	0.651	-0.481	-0.778	-5.13
0.998	1.0	1.0	0.457	2.096	0.691	5.51
0.458	0.086	0.206	0.559	-0.069	0.184	1.17
0.075	0.869	0.963	-0.792	-2.262	-0.342	-7.98
0.967	0.505	0.997	0.587	0.197	0.129	0.364
0.976	0.989	0.962	-0.17	-0.303	-0.147	-2.14
0.849	0.004	0.035	0.651	0.059	0.288	1.34
0.569	0.397	0.677	0.581	-0.279	0.296	0.403
0.975	0.999	0.999	0.651	0.607	1.083	3.03
0.983	0.705	0.054	-0.339	-1.533	-2.183	-11.1
0.041	0.012	0.003	-0.304	-0.572	-0.733	-3.07
0.779	1.0	1.0	0.478	2.286	0.79	4.78
0.008	0.0	0.0	-0.83	-2.374	-2.403	-10.4
0.014	0.001	0.0	-0.231	0.075	-0.543	-1.07
0.026	0.002	0.091	-1.237	-1.593	-1.098	-10.2
0.986	0.841	0.948	0.478	-0.47	0.138	-1.26
0.045	0.308	0.215	-3.46	-1.265	-1.189	-6.43
0.246	0.676	0.442	0.645	0.039	0.584	1.48
0.994	0.935	0.915	-0.267	-0.446	-0.361	-4.42
0.202	0.001	0.001	-0.402	0.127	0.12	0.658
0.99	0.981	0.933	-0.494	-0.519	-0.341	-3.29
0.411	0.999	1.0	-0.187	0.021	0.742	-0.469
0.909	0.999	0.999	0.484	0.573	0.196	3.92
0.99	0.999	0.999	0.457	0.111	0.565	0.647
0.996	1.0	0.998	0.581	0.363	0.244	0.882
0.833	0.998	0.999	0.651	0.13	0.509	0.294
0.051	0.031	0.031	0.439	0.722	0.735	1.17
0.863	0.969	0.212	-1.521	-0.432	-1.318	-5.43
0.076	0.001	0.002	0.651	-0.64	-0.471	-2.64
0.983	1.0	1.0	0.587	1.031	0.721	2.22
0.755	0.999	0.882	0.553	0.575	0.423	2.1
0.993	1.0	1.0	0.587	2.891	2.791	5.2
0.424	0.165	0.645	0.299	0.3	0.551	2.23
0.088	0.0	0.007	-0.332	-1.383	-0.114	-8.55
0.939	0.999	1.0	0.53	0.226	0.971	2.5
0.367	0.056	0.026	-0.273	-0.031	-0.109	0.14
0.998	1.0	1.0	0.651	0.678	0.807	2.4
0.224	0.033	0.999	0.3	-0.327	0.39	-2.07
0.0	0.0	0.0	-1.5	-3.255	-2.554	-8.14
0.996	1.0	1.0	0.37	0.364	1.085	0.984
0.001	0.024	0.055	-0.829	0.534	0.411	2.36
0.015	0.051	0.012	0.451	0.119	-0.23	1.09
0.007	0.001	0.001	0.11	-0.774	-0.738	-0.704
0.806	0.983	0.859	-0.264	-0.68	-0.646	-1.81
0.99	1.0	0.989	0.53	0.54	0.019	2.11
0.153	0.001	0.001	0.157	1.129	1.41	2.45
0.997	0.995	0.792	-0.161	-0.157	-0.532	-1.89
0.86	0.997	0.937	0.457	-0.022	-0.138	-0.064
0.022	0.0	0.0	0.553	-0.993	-0.942	-4.76
0.001	0.006	0.023	-0.398	-0.002	0.106	0.909
0.0	0.0	0.0	-0.345	-1.369	-1.258	-6.56
0.698	0.47	0.825	-0.263	-0.242	-0.1	-1.44
0.998	0.939	0.945	0.559	-0.876	-0.466	-6.13
0.958	0.999	0.986	0.551	0.463	-0.109	0.936
0.042	0.31	0.959	-0.995	-1.356	-0.373	-5.54
0.998	0.998	0.986	0.559	-0.014	-0.086	-1.08
0.603	0.483	0.512	-1.297	-0.673	-0.479	-2.59
0.633	0.0	0.0	0.587	-1.545	-1.396	-6.6
0.065	0.493	0.716	0.651	0.017	0.05	0.368
0.996	1.0	1.0	0.457	1.114	0.999	3.84
0.994	1.0	1.0	0.639	2.78	3.016	5.87
0.98	1.0	0.999	0.574	0.66	0.337	1.24
0.688	0.585	0.011	-0.307	0.243	-0.006	1.11
0.977	0.988	0.999	-0.442	0.123	0.667	0.856
0.989	0.999	1.0	0.651	0.831	2.52	4.02
0.999	1.0	1.0	0.651	0.777	0.587	4.0
0.987	0.999	1.0	-0.921	0.085	1.649	1.59
0.988	1.0	1.0	0.651	2.811	4.297	5.96
0.129	0.007	0.073	-1.837	-3.767	-1.89	-10.8
0.718	0.998	0.999	0.432	0.425	0.417	1.1
0.985	0.999	1.0	0.651	0.414	1.221	3.24
0.957	0.691	0.876	0.525	-0.401	-0.5	-5.81
0.999	1.0	1.0	0.651	1.475	0.769	3.96
0.926	0.996	1.0	0.486	0.657	0.957	2.16
0.084	0.009	0.469	0.48	-0.608	-0.965	-3.39
0.328	0.137	0.001	-0.441	0.859	0.516	4.22
0.863	0.001	0.0	0.249	-0.617	-0.762	-2.3
0.246	0.009	0.437	-0.817	-0.651	-0.435	-2.33
0.059	0.916	0.974	-0.223	-1.077	-0.195	-5.7
0.128	0.994	0.999	0.478	0.971	0.231	2.94
0.989	1.0	1.0	0.559	2.393	4.23	5.12
0.001	0.0	0.001	-2.648	-3.643	-3.08	-10.9
0.02	0.102	0.412	-1.97	-1.69	-2.096	-6.46
0.997	0.986	0.984	0.651	0.14	0.233	0.749
0.052	0.0	0.0	0.557	0.078	0.166	1.41
0.25	0.976	0.999	0.651	0.696	0.619	2.5
0.969	0.014	0.036	-0.265	-3.385	-1.712	-10.8
0.027	0.134	0.009	-0.302	0.08	0.144	0.831
0.0	0.0	0.285	0.0	-0.0	-0.946	0.0
0.095	0.944	0.928	-0.633	0.155	0.242	0.435
0.648	0.444	0.023	-0.825	-1.24	-0.601	-8.69
0.005	0.0	0.0	-0.856	-1.168	-1.519	-6.51
0.963	0.987	1.0	-0.395	-0.223	1.655	0.176
0.522	1.0	0.998	0.651	0.688	0.54	2.21
0.998	0.999	0.995	0.645	1.282	0.963	3.78
0.936	0.004	0.027	-0.261	-0.105	-0.115	0.825
0.239	0.982	0.994	0.442	1.516	1.399	2.65
0.014	0.755	0.06	-0.218	0.882	-0.03	1.47
0.027	0.064	0.011	-0.255	-0.267	0.137	-1.63
0.006	0.0	0.0	-2.749	-2.468	-1.963	-11.3
0.027	0.999	1.0	-0.31	0.243	2.095	2.06
0.873	0.005	0.006	0.651	-0.68	-0.104	-3.9
0.785	0.179	0.022	0.646	-0.541	-1.033	-4.98
0.0	0.0	0.0	-1.173	-1.517	-1.417	-4.26
0.997	1.0	1.0	0.53	0.431	0.694	1.67
0.999	1.0	1.0	0.53	0.917	0.658	4.0
0.011	0.001	0.0	-2.097	-1.245	-0.933	-5.8
0.0	0.006	0.939	0.0	-0.938	-0.823	0.0
0.899	0.007	0.001	-0.47	-3.475	-4.683	-10.0
0.343	0.09	0.016	-1.467	-3.101	-3.207	-8.84
0.956	0.053	0.942	-0.327	0.435	-0.372	1.19
0.995	0.65	0.998	0.645	-0.261	0.498	-0.394
0.995	0.999	0.998	0.52	0.479	0.575	1.94
0.092	0.001	0.826	-0.175	-0.529	-0.095	-5.7
0.998	1.0	1.0	0.557	1.289	1.822	3.99
0.028	0.0	0.001	-0.236	-0.262	-0.142	-1.12
0.145	0.008	0.007	0.457	-0.43	-0.152	-2.1
0.001	0.0	0.0	-2.806	-0.323	-0.26	0.154
0.984	1.0	0.973	0.557	1.039	0.169	3.93
0.041	0.622	0.319	0.651	0.699	0.416	2.59
0.29	0.983	1.0	-0.174	0.368	1.035	1.57
0.0	0.0	0.0	0.0	-0.0	0.0	0.0
0.401	0.0	0.0	-1.996	-4.845	-4.345	-11.5
0.824	0.996	1.0	-0.392	0.153	0.641	0.72
0.293	1.0	1.0	-0.352	0.792	0.312	1.03
0.895	0.998	0.999	0.3	0.495	1.343	1.83
0.081	0.002	0.001	0.486	0.573	0.205	0.841
0.033	0.001	0.001	0.526	0.464	0.435	1.55
0.167	0.989	1.0	0.188	1.716	2.091	3.07
0.746	0.752	0.351	-0.144	-1.842	-1.125	-9.05
0.993	0.878	0.922	0.597	-0.377	-0.271	-1.01
0.066	0.056	0.066	0.227	0.23	0.244	0.119
0.029	0.967	0.991	-0.841	0.102	0.31	2.04
0.036	0.089	0.003	-0.304	-0.121	-0.274	-1.3
0.998	1.0	1.0	0.651	2.576	3.126	5.2
0.84	0.017	0.007	-1.15	-1.669	-1.909	-10.8
0.182	0.007	0.983	0.383	0.383	1.186	1.87
0.849	0.041	0.479	-1.05	-1.688	-0.925	-8.76
0.606	0.995	1.0	-0.33	0.31	1.458	2.22
0.671	0.161	0.0	0.176	-0.161	-0.582	-1.44
0.929	0.704	0.886	0.587	0.316	0.138	1.53
0.144	0.0	0.0	0.457	-2.086	-1.365	-10.6
0.044	0.995	0.766	-0.366	1.053	0.376	2.5
0.927	0.999	0.999	-0.231	0.105	0.439	0.748
0.005	0.003	0.003	0.343	0.521	1.11	0.645
0.932	0.985	0.711	-1.486	-0.736	-1.152	-4.37
0.996	1.0	1.0	0.651	2.483	0.988	5.34
0.0	0.0	0.0	-2.822	-3.887	-1.536	-11.7
0.918	0.997	0.998	0.64	0.726	0.189	0.918
0.969	0.999	1.0	-0.146	0.545	1.499	3.3
0.049	0.061	0.926	-0.333	-0.068	-0.06	0.0757
0.926	0.996	1.0	-0.353	0.175	0.46	-0.07
0.793	0.93	0.0	0.651	0.421	-0.065	1.04
0.999	1.0	1.0	0.525	0.978	0.85	4.58
0.015	0.001	0.001	-0.407	-0.795	-0.528	-2.87
0.019	0.187	0.883	0.55	0.183	0.446	0.422
0.037	0.002	0.892	-0.223	-0.396	0.013	-1.62
0.927	1.0	1.0	-0.142	1.579	2.495	3.64
0.632	0.999	1.0	-0.266	0.405	1.772	2.25
0.951	1.0	1.0	0.553	2.601	3.751	5.53
0.834	0.823	0.951	0.559	0.892	0.58	1.1
0.018	0.048	0.934	-0.18	-0.65	-0.27	-1.3
0.319	0.999	1.0	-0.337	0.431	0.708	2.93
0.011	0.0	0.0	0.165	-1.131	-1.127	-3.79
0.945	0.01	0.981	-0.159	-1.023	0.346	-3.01
0.003	0.022	0.02	0.53	-0.416	-0.671	-3.63
0.139	0.0	0.0	-4.397	-4.232	-4.009	-10.8
0.937	0.638	0.706	0.525	-0.773	-0.197	-5.76
0.898	0.003	0.004	-0.261	-4.356	-4.08	-11.6
0.3	0.789	0.492	0.557	1.17	0.635	2.45
0.994	0.27	0.911	-0.259	-1.184	-0.342	-4.0
0.377	0.024	0.984	-0.377	-0.676	-0.03	-4.77
0.777	0.952	0.424	-0.344	-1.353	-0.889	-6.44
0.059	0.0	0.0	-0.235	-0.783	-0.532	-3.94
0.579	0.999	1.0	-0.17	0.585	0.522	2.16
0.097	0.001	0.012	-0.257	-1.497	-0.188	-5.21
0.993	1.0	1.0	0.53	2.034	1.383	3.93
0.527	0.184	0.085	-0.139	-0.166	0.042	0.0126
0.979	1.0	1.0	0.646	1.201	2.377	4.24
0.953	0.999	1.0	0.651	0.209	0.572	2.33
0.472	0.0	0.0	0.307	-1.868	-1.777	-3.85
0.06	0.003	0.058	0.557	-0.066	0.068	-0.142
0.726	0.998	0.999	0.525	0.417	0.617	2.54
0.674	0.076	0.019	-0.494	-1.798	-2.306	-10.4
0.988	1.0	0.999	-0.148	1.21	0.498	2.63
0.991	1.0	1.0	0.557	1.531	1.495	5.1
0.324	0.693	0.999	-0.255	0.077	0.56	2.15
0.642	0.957	1.0	0.651	1.465	3.36	4.54
0.996	1.0	0.999	0.651	0.47	0.483	3.19
0.349	0.987	0.994	-0.353	0.693	0.457	1.98
0.001	0.01	0.017	0.31	-0.005	0.032	0.0642
0.108	0.773	0.998	-1.874	-0.233	0.192	1.5
0.021	0.978	0.991	-2.831	-0.661	-0.137	-2.26
0.892	0.998	0.985	-0.319	0.198	-0.095	-0.492
0.729	0.995	0.986	-0.64	-0.256	-0.412	-3.14
0.132	0.558	0.753	-0.908	-0.906	-0.26	-4.78
0.945	0.993	0.999	0.581	0.345	0.486	1.21
0.983	0.538	0.507	0.645	-0.045	0.248	1.24
0.999	1.0	1.0	0.651	2.823	1.183	5.96
0.04	0.0	0.52	-1.242	-1.2	-2.407	-4.74
0.998	0.994	0.92	0.478	-0.282	-0.373	-0.904
0.622	0.0	0.0	-1.927	-4.507	-4.735	-11.4
0.736	0.998	0.992	0.52	0.523	0.1	0.729
0.04	0.0	0.051	-0.332	-0.201	0.328	-1.56
0.226	0.913	0.917	0.651	0.648	0.336	2.7
0.025	0.0	0.001	0.651	-0.222	0.757	-1.49
0.812	0.998	0.998	0.645	0.043	0.094	0.413
0.96	0.993	0.574	-0.268	-0.191	-0.788	-3.01
0.101	0.031	0.003	0.466	-0.022	-0.255	-0.967
0.45	0.999	1.0	0.307	0.852	0.627	2.06
0.96	0.998	0.857	-1.596	-0.097	-0.781	-2.58
0.656	0.988	0.999	0.587	1.293	1.45	3.5
0.962	0.581	0.062	-0.312	-1.56	-2.678	-8.42
0.893	0.053	0.046	0.379	-0.777	-0.39	-4.32
0.984	0.999	1.0	-0.321	0.58	0.532	3.34
0.004	1.0	1.0	-0.14	1.36	4.097	4.36
0.995	1.0	1.0	0.374	0.294	0.66	1.41
0.989	1.0	1.0	-0.231	0.722	1.809	3.74
0.952	0.778	0.998	0.557	-0.506	0.353	-2.49
0.083	1.0	1.0	-0.17	0.873	1.459	4.26
0.998	1.0	1.0	0.587	2.554	2.986	5.44
0.884	0.879	0.994	-0.14	-0.159	0.29	-1.3
0.437	0.077	0.563	0.53	0.134	0.501	2.34
0.697	0.993	1.0	-0.261	0.067	0.586	0.931
0.072	0.741	0.99	-0.126	1.472	1.855	4.93
0.998	1.0	0.996	0.651	0.787	0.159	4.02
0.998	1.0	1.0	0.559	0.682	1.277	1.71
0.578	0.178	0.982	-0.223	-0.355	-0.098	-2.17
0.063	0.783	0.129	-0.261	-0.907	-1.317	-7.45
0.784	0.219	0.589	-0.363	-1.042	-0.467	-2.58
0.437	0.781	0.95	0.457	-0.506	-0.454	-4.2
0.925	0.965	0.919	0.53	-0.562	-0.295	-1.87
0.265	0.941	0.724	0.48	0.734	0.037	2.71
0.892	1.0	0.999	0.444	0.339	0.321	0.609
0.043	0.001	0.002	-0.304	-0.336	-0.388	-2.15
0.275	0.998	1.0	0.581	0.678	1.205	3.58
0.952	1.0	1.0	-1.11	0.446	1.039	1.74
0.719	0.012	0.003	-1.356	-3.167	-3.635	-11.0
0.916	0.117	0.039	-1.087	-3.014	-1.942	-11.7
0.158	0.005	0.569	-0.803	-1.379	-0.029	-5.75
0.26	0.995	1.0	0.557	0.282	1.376	0.0814
0.002	0.808	0.14	-0.144	-0.695	-0.645	-3.24
0.95	0.997	0.999	0.581	2.448	0.921	4.39
0.018	0.019	0.171	-1.186	-0.496	-0.22	-2.25
0.105	0.945	0.999	-0.187	0.001	0.524	1.0
0.91	1.0	1.0	0.53	2.324	1.243	4.91
0.998	1.0	0.938	0.553	0.292	-0.274	1.26
0.996	0.932	0.989	0.651	0.229	-0.018	2.55
0.051	0.955	0.736	-1.131	-0.414	-0.305	-1.7
0.574	0.999	1.0	-0.327	0.452	0.677	2.1
0.013	0.025	0.03	0.154	0.553	0.571	0.552
0.999	0.388	0.825	0.53	-2.758	-0.903	-11.6
0.596	0.985	1.0	-0.334	0.024	0.688	1.68
0.147	0.0	0.0	0.451	-0.612	-0.392	-4.27
0.97	0.984	0.243	-0.88	-0.492	-1.162	-4.3
0.016	0.016	0.001	0.291	0.286	-0.039	0.907
0.033	0.0	0.0	0.299	-0.079	-0.694	-3.06
0.005	0.32	0.505	-1.859	-0.226	-0.075	-0.0793
0.008	0.0	0.794	-0.386	-1.134	-0.217	-4.94
0.0	0.005	0.005	-0.0	0.425	0.418	0.0
0.659	0.026	0.0	0.486	0.413	0.033	1.0
0.686	0.995	1.0	-0.327	0.162	0.785	2.41
0.367	0.988	1.0	-0.751	-0.477	0.513	-0.399
0.991	0.998	0.998	0.651	-0.008	0.135	0.496
0.914	0.031	0.347	0.486	0.637	1.401	0.706
0.46	0.917	0.976	0.307	1.728	2.266	2.9
0.977	1.0	0.999	-0.373	0.591	0.504	2.42
0.01	0.983	0.982	0.559	1.524	1.192	3.29
0.47	0.999	1.0	-0.472	0.344	0.752	2.0
0.988	1.0	1.0	-0.343	1.241	1.048	3.27
0.003	0.0	0.045	-0.358	-0.198	0.246	-1.14
0.941	1.0	0.996	-0.307	0.915	0.135	2.55
0.979	1.0	1.0	0.393	1.116	0.39	1.44
0.008	0.0	0.0	-0.761	-1.941	-2.096	-2.68
0.839	0.964	0.338	0.465	-0.222	-0.333	-1.06
0.994	0.963	0.993	0.379	-0.905	0.016	-6.38
0.004	0.0	0.272	-1.609	-4.817	-3.591	-6.38
0.005	0.0	0.0	-2.242	-1.972	-1.676	-6.96
0.996	1.0	1.0	0.525	2.145	1.995	5.12
0.887	1.0	1.0	0.53	2.324	1.464	4.86
0.939	0.0	0.0	-0.264	-1.824	-1.402	-8.27
0.997	1.0	1.0	0.645	1.42	2.048	4.87
0.617	0.999	1.0	0.557	1.348	0.551	3.62
0.402	0.118	0.004	-0.144	-0.587	-0.737	-3.35
0.923	0.768	0.053	-0.255	-0.752	-0.294	-3.93
0.001	0.632	0.009	-0.295	-0.68	-0.674	-6.73
0.999	1.0	1.0	0.645	2.376	2.036	4.36
0.957	0.883	0.336	0.48	-1.238	-1.23	-5.9
0.999	1.0	0.999	0.651	1.459	0.384	3.36
0.065	0.02	0.994	0.275	-0.254	0.066	-1.69
0.98	0.838	0.003	0.379	-0.624	-0.891	-4.59
0.513	0.889	0.348	-0.373	0.295	-0.051	-0.569
0.003	0.0	0.0	0.157	-0.228	-0.205	-1.21
0.415	0.975	1.0	0.307	1.511	1.576	2.73
0.003	0.0	0.0	0.385	-0.659	-0.704	-2.74
0.017	0.0	0.0	-1.336	-4.566	-3.165	-9.86
0.369	0.013	0.128	-3.472	-2.817	-1.835	-7.95
0.995	0.388	0.087	-0.148	-1.961	-1.513	-8.78
0.901	0.077	0.433	-2.45	-3.543	-0.977	-11.7
0.987	0.021	0.0	0.486	0.252	-0.063	0.0514
0.735	1.0	1.0	0.557	2.561	0.431	4.66
0.0	0.0	0.001	-1.344	-0.498	-0.5	-1.82
0.544	1.0	1.0	0.645	1.595	1.347	4.73
0.991	0.975	0.936	-0.319	-0.658	-0.515	-1.86
0.908	0.668	0.887	0.307	-0.74	-0.723	-4.65
0.003	0.027	0.0	-1.046	-1.059	-1.521	-6.55
0.149	0.012	0.089	0.509	-0.012	-0.026	0.356
0.915	0.997	0.973	-0.993	-0.032	-0.181	-0.162
0.989	0.998	0.959	0.428	-0.096	-0.404	-0.588
0.952	0.988	0.061	0.53	-0.111	-0.788	-1.77
0.571	0.123	0.107	-0.751	-1.956	-2.11	-9.77
0.884	0.206	0.029	0.553	0.58	-0.038	1.59
0.046	0.223	0.65	0.457	2.24	2.349	4.85
0.991	1.0	1.0	0.457	2.361	2.386	3.9
0.988	1.0	0.999	0.651	0.945	0.681	2.73
0.726	1.0	0.999	0.53	0.395	0.388	3.21
0.749	0.999	0.995	0.473	1.975	0.584	4.44
0.606	0.802	0.948	-1.934	-1.503	-0.164	-9.09
0.017	0.169	0.922	-0.309	0.313	-0.054	-0.36
0.997	0.998	0.971	0.53	-0.082	-0.178	-0.0844
0.0	0.0	0.0	-3.647	-10.014	-9.103	-8.94
0.004	0.912	0.93	-2.085	-0.841	-0.388	-3.0
0.176	0.878	0.999	-0.142	1.082	0.727	1.61
0.153	0.163	0.934	0.486	0.133	0.389	0.339
0.007	0.305	0.922	-0.475	-0.3	-0.241	-2.22
0.916	1.0	1.0	-0.295	0.375	1.639	3.04
0.022	0.0	0.0	-1.334	-1.1	-0.821	-2.68
0.983	1.0	1.0	0.557	1.19	1.272	3.97
0.27	0.908	0.989	0.651	0.337	0.616	2.93
0.002	0.092	0.238	-0.14	0.087	0.578	1.27
0.989	0.991	0.99	0.53	0.112	0.197	0.553
0.246	0.003	0.004	-2.072	-2.912	-2.896	-11.1
0.988	1.0	1.0	0.369	0.554	1.057	1.6
0.398	0.779	0.717	-2.687	-0.293	-0.363	-0.587
0.471	1.0	1.0	-0.353	0.869	3.286	4.34
0.534	0.934	0.983	-1.33	-0.656	-0.194	-1.11
0.0	0.0	0.0	-1.141	-0.839	-1.107	-3.56
0.976	0.995	0.984	0.473	-0.16	0.033	-1.21
0.486	0.607	0.005	-1.003	-0.59	-1.641	-6.67
0.006	0.047	0.062	0.53	0.989	1.052	3.14
0.981	1.0	1.0	0.557	1.181	1.951	4.03
0.622	0.965	0.588	-1.904	-0.867	-0.95	-5.2
0.011	0.992	0.999	0.587	2.602	1.117	5.24
0.345	0.155	0.039	-1.245	-2.163	-1.271	-7.32
0.996	1.0	1.0	-0.297	1.096	0.986	3.78
0.0	0.0	0.0	-0.427	-0.187	-0.18	-1.65
0.663	0.834	0.499	-0.464	-1.754	-1.816	-8.39
0.0	0.0	0.0	-0.961	-1.241	-0.988	-1.53
