dPSIZ	SR-	SR+	FAS6-	FAS6+	MES	dMES	MES+	MES-	MEC-MC?	MEC-CS?	MES-KM?	PESE-	PESE+	PESS-	PESS+
-0.517	0.0	0.0	0.2500	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.2500
1.017	0.0000	0.0058	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0294	0.0000	0.0000
-1.406	0.3333	0.0000							0.0	0.0	0.0	0.0000	0.0000		
2.095	0.0000	0.0000	0.0000	0.0000	3.5200	0.5400	0.5400	-0.5400	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0022	0.0022	0.0000	0.0000	3.4300	0.9900	-0.9900	0.9900	0.0	1.0	0.0	0.0000	0.0051	0.0000	0.0000
	0.0000	0.0036	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.32															
1.986	0.0000	0.0435	0.0000	0.0000	2.0400	7.7500	7.7500		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
1.477	0.0000	0.0417	0.0000	0.0000	2.9800	8.1800		8.1800	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.539	0.0029	0.0014	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.161	0.0526	0.0270	0.0000	0.0000					0.0	0.0	0.0	0.1071	0.0000	0.0000	0.0000
	0.0000	0.0179	0.0000	0.0000	4.8900	7.7500	7.7500		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.038	0.0000	0.0	0.0000	0.0000	5.2100	0.5600	-0.5600	0.5600	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.654															
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0312	0.0000		
	0.0000	0.0020	0.0000	0.0000					0.0	0.0	0.0	0.0095	0.0000	0.0000	0.0000
-0.962	0.0714	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
0.369	0.1	0.1	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.2500	0.0000	0.0000
-0.316															
	0.0000	0.0000	0.0000	0.0000	4.6400	0.4300	0.4300	-0.4300	0.0	1.0	0.0	0.0098	0.0000	0.0000	0.0000
															
	0.0009	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0013	0.0000	0.0000	0.0000
	0.0021	0.0021	0.0000	0.0000	6.3200	1.8400	1.8400	-1.8400	0.0	1.0	0.0	0.0000	0.0043	0.0000	0.0000
-0.555	0.0312	0.0							0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.223	0.0076	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0155	0.0000	0.0000	0.0000
-1.582	0.0213	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.5000
-0.08															
1.325	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.467	0.0278	0.0000							0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
1.863	0.0000	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0037	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.081	0.0	0.0	0.0000	0.0000	2.4800	0.1900	0.1900	-0.1900	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0103	2.5300	10.7700		10.7700	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0029
-0.258	0.0	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.217	0.0000	0.0000	0.0000	0.1429					0.0	0.0	0.0	0.0084	0.0000	0.0000	0.0000
0.681	0.0000	0.0333	0.0000	0.0000	9.0800	5.8900	5.8900	-5.8900	0.0	1.0	0.0	0.0000	0.0000		
-0.751	0.0000	0.0000							0.0	0.0	0.0	0.0833	0.0000	0.0000	0.0000
2.04															
1.877	0.0185	0.0364			4.0500	2.6100	2.6100	-0.5100	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
1.562	0.0294	0.0000	0.1667	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.232	0.0312	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0833	0.0000	0.0000
	0.0036	0.0036	0.0000	0.0256					0.0	0.0	0.0	0.0130	0.0000	0.0000	0.0000
0.636															
-0.492															
-2.051	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
-1.186	0.0	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.87															
-1.07	0.0000	0.0000			3.1700	7.7600	7.7600		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.17	0.0000	0.0000	0.0000	0.0000	9.4700	1.6500	1.6500	-1.6500	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.265	0.0	0.0	0.1429	0.0000					0.0	0.0	0.0	0.0714	0.0000	0.0000	0.0000
-1.008	0.0270	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.137	0.0145	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.729	0.0833	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.5000
	0.0000	0.0026	0.0000	0.0220	5.7000	5.8500	5.8500		0.0	1.0	0.0	0.0000	0.0000	0.0069	0.0000
0.614	0.0909	0.0000			5.4800	0.7200	0.7200	-0.7200	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.5000
	0.0938	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
-0.548	0.0156	0.0156	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0040	0.0000	0.0000	3.4500	1.2000	-1.2000	1.2000	0.0	1.0	0.0	0.0000	0.0109	0.0000	0.0000
	0.0000	0.0	0.0000	0.0286	10.4900	0.7700	-0.7700	0.7700	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.779															
	0.0114	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.631															
-1.574	0.0952	0.0000	0.0000	0.0000	7.0400	0.1700	-0.1700	0.1700	0.0	1.0	0.0	0.0000	0.0000		
0.399	0.0000	0.0000			9.5100	7.7600	-1.0900	7.7600	0.0	1.0	1.0	0.0000	0.0000	0.0000	0.0000
-0.188	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0476	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0000	2.1100	7.7600	7.7600		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.858															
0.24															
-1.378	0.0000	0.0282	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0040	0.0000	0.0000	0.0000	4.6000	1.6100	0.2800	1.6100	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0084
-0.927	0.0	0.0	0.0000	0.0000	4.5900	2.2000	2.2000	-0.2400	1.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0047	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0070	0.0000
-0.346	0.0588	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
	0.0134	0.0134	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0625	9.3900	0.4300	0.4300	-0.4300	0.0	0.0	1.0	0.0000	0.0000	0.0000	0.0000
0.618	0.0000	0.0079	0.0000	0.0000	8.9200	0.2500	0.2500	-0.2500	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
2.65															
-0.468	0.0455	0.0000							0.0	0.0	0.0	0.2000	0.0000		
	0.0021	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.398															
2.079	0.0182	0.0000	0.0000	0.0000	2.9000	7.9500	7.9500		0.0	1.0	0.0	0.0000	0.0417	0.0000	0.0000
-1.966	0.0417	0.0000							0.0	0.0	0.0	0.1111	0.0000		
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.636	0.0435	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
															
1.243															
	0.0000	0.0015	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0054	0.0000	0.0000
0.737	0.1333	0.0000	0.0000	0.0000	2.8600	0.5000	0.5000	-0.5000	0.0	1.0	0.0			0.0000	0.0000
-0.57	0.0101	0.0101	0.0000	0.0000					0.0	0.0	0.0	0.0244	0.0000	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0121	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0200	0.0000	0.0000
0.512															
-1.466	0.0000	0.0000							0.0	0.0	0.0	0.0000	0.0000		
	0.0	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0217	0.0217	0.0000	0.1000
2.612	0.1429	0.0000	0.0000	0.0000					0.0	0.0	0.0			0.0000	0.0000
	0.0067	0.0000	0.0000	0.0000	2.5700	0.2700	0.2700	-0.2700	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
1.715	0.0400	0.0000			4.3500	1.2000	-1.2000	1.2000	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0096	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.244	0.0214	0.0000	0.0000	0.0000	6.2600	0.4700	0.4700	-0.4700	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.276	0.0000	0.0145	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
2.959	0.1000	0.0000							0.0	0.0	0.0	0.0000	0.5000	0.0000	0.0000
-0.547	0.1250	0.0			6.6800	1.2400	1.2400	-1.2400	0.0	1.0	0.0	0.0000	0.0000		1.0000
0.883	0.0	0.0233	0.0000	0.0000	3.2400	8.1900	8.1900		0.0	1.0	0.0	0.0769	0.0000	0.0000	0.0000
-0.367	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
1.003	0.0526	0.0526							0.0	0.0	0.0	0.0000	0.3000		
	0.0000	0.0	0.0000	0.0000	8.1100	8.1200	0.4100	8.1200	0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0163	0.0	0.0000	0.1250	4.9700	2.3400	-2.3400	2.3400	0.0	1.0	0.0	0.0312	0.0000	0.0000	0.2000
0.398	0.0000	0.0256	0.5000	0.0000					0.0	0.0	0.0	0.0000	0.0222	0.0000	0.0000
-0.015	0.0588	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.3333
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0303
	0.0143	0.0143	0.0000	0.0000	3.0200	0.1200	0.1200	-0.1200	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.041	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
0.755															
1.035	0.0000	0.1111	0.0000	0.0000	3.8400	8.1900		8.1900	0.0	1.0	0.0	0.0000	0.0000		
0.414	0.0161	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.1429		
0.263	0.0000	0.0244	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.842	0.0455	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.2000	0.0000		
	0.0016	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0046	0.0000	0.0000
	0.0000	0.0059	0.0000	0.0000	3.7100	1.0200	-1.0200	1.0200	0.0	1.0	0.0	0.0000	0.0000	0.0222	0.0000
	0.0035	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0086	0.0000	0.0000	0.0000
	0.005	0.005	0.0000	0.0000					0.0	0.0	0.0	0.0244	0.0000	0.0000	0.0000
-0.155	0.0000	0.0	0.0000	0.0000	7.2400	0.7800	0.1700	0.7800	0.0	1.0	0.0	0.0000	0.0625		
-1.422	0.0000	0.0000	0.0000	0.0000	5.0900	0.7100	0.7100	-0.7100	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.3333
-1.299															
0.539	0.0	0.0	0.3333	0.0000	9.1500	0.1300	0.1300	-0.1300	0.0	1.0	0.0	0.0556	0.0000	0.0000	0.0000
-0.024	0.0096	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
															
0.736	0.0000	0.0769	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.2000	0.0000	0.0000
															
-0.014															
-1.394	0.0000	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
1.245															
-0.227	0.0000	0.0000	0.0000	0.1111					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.37	0.0	0.0	0.0000	0.0000	4.5600	1.1000	1.1000	-1.1000	0.0	1.0	0.0	0.0769	0.0000	0.0000	0.0000
1.694															
-1.121	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.1667	0.0000		1.0000
															
	0.0159	0.0000	0.2000	0.0000					0.0	0.0	0.0	0.0312	0.0000	0.0000	0.0000
0.856															
	0.0010	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.808															
-0.589	0.0303	0.0303	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0667	0.0000	0.0000
-0.263															
0.401	0.0000	0.0093	0.1000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
															
0.015	0.0035	0.0035	0.0000	0.0000					0.0	0.0	0.0	0.0112	0.0000	0.0000	0.0000
	0.0101	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
0.436	0.0120	0.0120	0.0000	0.0000	5.7500	8.0400	7.4400	8.0400	1.0	1.0	0.0	0.0000	0.0323	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0192	0.0000	0.0000
	0.0048	0.0000	0.0000	0.0000	2.2100	0.5300		0.5300	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.853	0.0000	0.0145	0.0000	0.0000	5.3200	1.5500	1.5500	-1.5500	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.051	0.0011	0.0022	0.0000	0.0000	4.9800	7.9500	7.9500		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.949	0.0256	0.0256	0.0000	0.0000					0.0	0.0	0.0	0.0769	0.0000		
2.819	0.1053	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
-0.509	0.0000	0.0000	0.0000	0.2000					0.0	0.0	0.0	0.3333	0.0000	0.0000	0.2500
	0.0	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
2.87	0.0000	0.0	0.0000	0.0000	2.5800	3.1400	3.1400		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0189	0.0000	0.0000	0.0000	7.1100	8.3600		8.3600	0.0	1.0	0.0	0.0714	0.0000	0.0000	0.0000
	0.0	0.0008	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0000	3.3400	7.7500		7.7500	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.489	0.0000	0.0526	0.0000	0.0000	3.9500	0.4300	-0.4300	0.4300	0.0	1.0	0.0	0.0000	0.0000	0.1429	0.0000
															
-0.278															
	0.0033	0.0	0.0000	0.0000	2.8800	7.6500	7.6500		0.0	1.0	0.0	0.0053	0.0000	0.0000	0.0000
0.279	0.0011	0.0011	0.0000	0.0000	7.0100	1.6200	-1.6200	1.6200	0.0	1.0	0.0	0.0024	0.0000	0.0000	0.0000
	0.0117	0.0	0.0769	0.0000	5.8300	8.5100		8.5100	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0	0.0	0.0000	0.0000	3.9600	0.9900	-0.9900	0.9900	0.0	1.0	0.0	0.0126	0.0000	0.0000	0.0000
	0.0085	0.0000	0.0000	0.0000	2.5100	1.0900	1.0900		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0227
-0.079															
-0.263	0.0	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
1.194	0.0690	0.0690	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0714		
-2.256	0.0000	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.43	0.0500	0.0952	0.0000	0.0000	3.1100	7.7500	7.7500		0.0	1.0	0.0	0.0000	0.0000		
	0.0087	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0235	0.0000	0.0000	0.0000
-0.065	0.0040	0.0000	0.0000	0.0000	2.1800	0.8800	0.8800		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.128															
	0.0000	0.0088	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0222		
-1.313	0.0400	0.0000	0.0000	0.0000	5.2300	0.4200	-0.4200	0.4200	0.0	1.0	0.0	0.1333	0.0000		
															
															
															
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
1.35	0.0175	0.0175	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
-3.365															
0.333	0.0000	0.0000			7.1400	1.3300	-1.3300	1.3300	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.175															
-0.631	0.0256	0.0256	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.529	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.612	0.0455	0.0000	0.0000	0.0000	3.8600	0.2900	0.2900	-0.2900	0.0	1.0	0.0	0.1250	0.0000	0.0000	0.0000
-0.007															
0.146	0.0278	0.0278	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
	0.0073	0.0145	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
															
-1.861															
	0.0089	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0256	0.0000	0.0000	0.0000
-0.004	0.0082	0.0000	0.0000	0.0000	3.6500	1.0900	1.0900	-1.0900	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0212	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0200	0.0000	0.0000
															
-0.606	0.0080	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.261	0.0357	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0345	0.0000	0.0000	0.0000
-1.192															
-1.102	0.0000	0.0476	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.1429	0.0000	0.0000
0.681	0.1250	0.0	0.0000	0.0000					0.0	0.0	0.0	0.1667	0.4444		
	0.0081	0.0	0.1304	0.0000					0.0	0.0	0.0	0.0213	0.0000	0.0000	0.0000
-1.531	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0000	0.0000	0.1111					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.061	0.0000	0.0034	0.0000	0.0000	4.3400	1.0400	1.0400	-1.0400	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
															
0.436															
	0.0027	0.0000	0.0000	0.0000	5.5400	3.3200	3.3200	-3.3200	0.0	1.0	0.0	0.0105	0.0309	0.0000	0.0000
1.375	0.0769	0.0							0.0	0.0	0.0	0.4286	0.0000	0.0000	0.0000
	0.0026	0.0000	0.0000	0.0000	4.9600	2.2000	2.2000	-2.2000	0.0	1.0	0.0	0.0089	0.0000	0.0000	0.0000
1.079	0.0476	0.0							0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0122	3.9600	0.1000	-0.1000	0.1000	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0058
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.943															
-1.983	0.0500	0.0000							0.0	0.0	0.0	0.1111	0.0000		
-0.687	0.0444	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.1429		
															
															
2.062															
-0.982															
-1.021															
	0.0071	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0175	0.0000	0.0000
0.753	0.1538	0.1538							0.0	0.0	0.0	0.0000	0.2500	0.0000	0.0000
-0.803															
-0.259	0.0145	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.1429
	0.0064	0.0032	0.0000	0.0000					0.0	0.0	0.0	0.0208	0.0105	0.0000	0.0000
-0.448															
1.0	0.0400	0.0769	0.0000	0.0000	8.0700	0.5600	0.5600	-0.5600	0.0	1.0	0.0	0.0769	0.0000		
0.92	0.0000	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0000	3.8600	3.4100	3.4100		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.447	0.0625	0.0000	0.0000	0.0000	3.6000	0.7500	-0.7500	0.7500	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
2.409															
-0.778															
-1.779															
